"NUM_CLIENT"	"SOLDE"
3128	-309,81
3129	-188,823
3130	0
3131	-44209,066
3132	0
3133	0
3134	0
3135	-2424,819
3136	0
3137	0
3138	-803
3139	0
3140	0
489	-10065,028
491	-1686,495
492	-333,13
494	-4290,616
495	-12088,167
496	0
497	0
498	0
499	0
500	0
501	-1957,184
502	-844,538
503	0
504	0
505	-530,164
506	-745,204
507	-3607,416
508	0
509	-2297,101
510	-4634,707
511	0
512	-1690,618
513	-2280,794
514	-721,02
515	3590,034
516	-676,303
517	-905,596
518	-4302,681
519	-1458,492
520	-1114,699
521	1000
522	10,507
523	0
524	0
525	-1039,76
526	0,565
527	1,949
528	-17083,412
529	0
530	-358,588
531	0
532	-2133,095
533	-12391,386
534	-1026,018
535	-35
536	-47,287
537	0
538	-2002,684
539	0,662
540	0
541	-12612,79
542	-0,872
544	0
545	0
546	0
547	-0,054
548	0
549	0
550	5,068
551	0
552	-230,555
553	-1651,56
555	-509,918
556	-1329,896
557	-1104,521
558	0,608
559	0
560	-52177,332
561	-1334,852
562	-12029,977
563	-1628,269
564	-57605,59
565	-1821,664
566	-1195,535
567	0
568	0
569	0
570	-0,009
571	-1390,438
572	59,56
573	-3386
574	-3353,743
575	0
576	0
577	-2925,742
578	0
579	-6948,636
580	-2087,139
581	0
582	-879,997
583	-1532,578
584	6,923
585	0
586	0
587	0
588	-1085,412
589	0
590	0
591	3,925
592	0
593	-6089,653
594	-0,001
595	0
596	-17322,948
597	0
598	0
599	-645,072
600	0
602	0
603	-8725,955
604	-776,08
605	1,5
606	-3397,709
607	0
608	-2528,371
609	0
610	0
611	0
612	0
613	-295,296
614	0
615	-1482,127
616	-0,94
617	0
618	0
619	-1596,353
620	-2939,336
621	-0,36
622	0
623	1000
624	0
625	-37473,762
626	-0,4
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	-494156,235
638	0
639	-353,302
640	0
641	-17
642	-931,998
643	0
644	0
645	0
646	0
647	0
648	-7,642
649	0
650	0
651	0
652	11,4
653	1165,52
654	-434,792
655	0
656	-413,54
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	-2833,601
665	0
666	0
667	0
668	-3608
669	0
670	0
671	0
672	0
673	0
674	-28,5
675	0
676	-2413,595
677	0
678	0
679	0
680	0
681	0
682	0
683	-3533,883
684	0
685	-686,727
686	0
687	-0,025
688	-16697
689	0
690	-1180,16
691	0
692	0
693	0
694	-1328,448
695	0
696	-172,6
697	0
698	0
699	-24142,711
700	0
701	0
702	0
703	0
704	-121
705	0
706	-495,7
707	0
708	0
709	0
710	0
711	2054,24
712	0
713	0
714	0
715	18
716	0
717	0
718	0
719	-10434,115
720	0
721	0
722	-16273,906
723	0
724	0
725	-294,604
726	-16854
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	-315
737	0
738	0
739	0
740	0
741	-19
742	0
743	0
744	0,285
745	0
746	0
747	0
748	-318642,527
749	0
750	0
751	0
752	-101
753	0
754	-467,798
755	0
756	0
757	-15575,366
758	0
759	0
760	0
761	-8317,28
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	-101
772	0
773	0
774	0
775	-2208,22
776	-978,063
777	0
778	240,292
779	0
780	0
781	0
782	0
783	0
784	0
785	-546,075
786	33994,335
787	-0,156
788	0
789	-6558,75
790	-146
791	0
792	0
793	0
794	0
795	0
796	-125952,761
797	0
798	-328,241
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	-375,277
807	0
808	0
809	0
810	0
811	-150,427
812	-3833,291
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	-710,27
821	-271276,448
822	-19
823	0
824	0
825	0
826	0
827	-1102,104
828	-5719,846
829	0,764
830	0
831	0
832	2754,64
833	-944,96
834	0
835	0
836	-1902,416
837	-0,18
838	0
839	-2386,492
840	1449,413
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	-2388,022
854	909,1
855	0
856	0
857	0
858	-35
859	0
860	-2294,724
861	-304
862	0
863	-1039,018
864	0
865	0
866	0
867	0
868	0
869	0
870	0
871	0
872	0
873	0
874	0
875	0
876	2221,72
877	-91,496
878	-2439,596
879	0
880	0
881	-71654,493
882	0
883	0
884	0
885	-1153,748
886	0
887	0
888	0
889	0
890	0
891	0
892	-867,316
893	0
894	0
895	-136408,718
896	0
897	-33906,9
898	0
899	0
900	-19
901	0
902	-81
903	-81
904	0
905	0
906	0
907	-1235,121
908	0
909	0
910	0
911	-415
912	-4,584
913	0
914	-1964,181
915	0
916	0
917	-14834,233
918	-39420,32
919	0
920	0
921	-9195,251
922	-4095,017
923	0
924	0
925	-1,959
926	0
927	0
928	-1255,055
929	0
930	0
931	0
932	0
933	-3137,84
934	-4303,85
935	-10128,96
